lat,lon,count,RUA
-7.2223667,-35.8734667,2,RUA MELQUIADES SILVA VIANA
-7.2315723,-35.8921784,2,RUA RIO GRANDE DO SUL
-7.2085383,-35.8769662,1,RUA FELIX CAROLINO BARBOSA
-7.2409721,-35.9241948,2,RUA DOS AVELOZES
-7.2485367,-35.9230350,1,RUA DOS UMBUZEIROS
-7.2510877,-35.9112383,3,RUA JOÃO CAVALCANTE DE ARRUDA
-7.2223667,-35.8734667,1,RUA JOSÉ PRAEIRO DOS SANTOS
-7.2483569,-35.9284381,1,RUA ALCIDES AVELINO DE MEDEIROS 
-7.2354335,-35.8827645,2,RUA JOÃO QUIRINO
-7.2223667,-35.8734667,1,RUA PASTOR RAUL DE SOUZA COSTA
-7.2344216,-35.9054668,1,RUA YOYO CAVALCANTE 
-7.2199997,-35.9153527,6,RUA CARLOS ALBERTO SOUZA 
-7.2165873,-35.8735746,1,RUA SILVA JARDIM II
-7.2226085,-35.9047724,1,RUA RAIMUNDO ASFORA
-7.2511199,-35.9035761,1,RUA ABSALÃO EMERENCIANO
-7.2281990,-35.9189281,1,RUA FREIRA FRANCISCA GUSMAO
-7.2201748,-35.9067204,1,RUA EMIDIO LUCAS DA SILVA
-7.2213790,-35.8802905,1,RUA JOÃO DA MATA
-7.2458570,-35.8778745,1,RUA JOÃO PESSOA
-7.2093170,-35.9012116,1,RUA ANA DA SILVA MEIRA
-7.2230627,-35.9200239,2,RUA DR SEVERINO RIBEIRO CRUZ
-7.2300184,-35.9350368,1,RUA HELENO DE SOUZA DO Ó
-7.2373225,-35.9218672,1,RUA ELVIRA CARMEN DA SILVA
-6.9756236,-35.8192145,1,RUA PARA
-7.2173955,-35.8858229,1,AVENIDA PRESIDENTE JOAO PESSOA
-7.2051179,-35.9005047,1,RUA ANTONIO SOARES DA SILVA
-7.2653172,-35.8743294,1,RUA ALZIRA FIGUEIREDO
-7.2433129,-35.9233968,2,RUA JAMILA ABRAÃO JORGE
-7.2223667,-35.8734667,1,RUA JOÃO FAZIO DE ALMEIDA
-7.2223667,-35.8734667,1,RUA JOAQUIM TERTULIANO DOS SANTOS
-7.2509440,-35.8860939,4,RUA MANOEL ALVES DE OLIVEIRA
-7.2396593,-35.8987413,1,RUA JOSEFINA MARIA DA CONCEIÇÃO
-7.2223259,-35.8820395,1,RUA JOÃO TAVARES
-7.2538373,-35.9332482,1,RUA DEMETRIO QUITANS MEIRA
-7.2217283,-35.9163941,1,AVENIDA APRIGIO VELOSO
-7.2298794,-35.9279763,1,RUA CAICO 
-7.2678080,-35.9189876,1,RUA CÁSSIO FIGUEREDO
-7.2529304,-35.8772051,1,RUA AROLDO CRUZ 
-7.2240478,-35.8738004,1,RUA REGENTE FEIJO
-7.2246806,-35.9254844,1,RUA JOSÉ MOTA
-7.2315441,-35.9224193,2,RUA PROFESSORA MARIA AUGUSTO MENDONÇA
-7.3388846,-35.8966332,1,RUA MANOEL SEFARIM DA COSTA
-7.2420242,-35.8848662,1,RUA AUDERICO PESSOA DE OLIVEIRA
-7.2421815,-35.8805880,1,RUA VALDEMIRA EMILIA PINTO 
-7.2223667,-35.8734667,1,RUA PADRE CORNELIO
-7.2223667,-35.8734667,1,RUA VALDETE PIMENTEL
-7.2440587,-35.9084572,1,RUA ANTONIO CARLOS MARANHÃO
-7.2055986,-35.8946330,1,RUA PROFESSOR BALBINO
-7.2414746,-35.9131838,1,RUA MARIA GOMES DE SOUSA 
-7.2183242,-35.8833199,1,RUA SEMEÃO LEAL
-7.2250564,-35.8816899,2,RUA DOUTOR SEVERINO CRUZ
-7.2488630,-35.8826889,1,RUA JOSÉ SANTANA DE SOARES
-7.2197205,-35.9186554,1,RUA ANTONIO VIEIRA DA ROCHA 
-7.2383857,-35.8860420,1,RUA VINTE QUATRO DE MAIO
-7.2559025,-35.9122155,2,RUA AFONSO HENRIQUE CAVALCANTE
-7.2223667,-35.8734667,1,RUA ARMANDO AMORIN PEREIRA 
-7.2255697,-35.8767498,1,RUA JOAO FLORENTINO DE CARVALHO 
-7.2565349,-35.9096711,2,AVENIDA PRESIDENTE JUSCELINO KUBITSCHEK
-7.2223667,-35.8734667,1,RUA SIMEÃO LEAL 
-7.2748919,-35.9086158,2,RUA DAS INDUSTRIAS 
-7.2445686,-35.9183255,1,RUA HORACIO BATISTA CARNEIRO
-7.2361952,-35.9000815,1,RUA AMÉRICO CARNEIRO
-7.2223667,-35.8734667,1,RUA MARIA DE LOURDES FERREIRA 
-7.2164281,-35.8845929,1,RUA BARAO DO ABIAI
-7.2207460,-35.9019810,1,RUA JOSE DE ALENCAR
-7.2496298,-35.9124164,1,RUA JOÃO ALVES DE ALMEIDA 
-7.2115866,-35.8735199,1,RUA NOSSA SENHORA DE LOURDES
-7.2355900,-35.9312681,1,RUA MARIA DA GUIA MUNIZ DE ALBUQUERQUE
-7.2294948,-35.8907541,2,RUA MINAS GERAIS 
-7.2604071,-35.9115860,1,TV JUSCELINO KUBISCHEK
-7.2515086,-35.9196654,2,RUA FERNANDO DE NORONHA 
-7.2223667,-35.8734667,1,AVENIDA JOSE MARTINS DE ANDRADE
-7.2279954,-35.9064393,1,RUA ROSALINA ALVES CHAVES 
-7.2212168,-35.8826753,1,RUA VIDAL DE NEGREIROS
-7.2059804,-35.8962939,1,RUA PROBO CÂMARA
-7.2242125,-35.9117768,1,RUA JOSE SANTIAGO 
-7.2104718,-35.8769168,2,RUA FRANKLIN ARAUJO 
-7.2427429,-35.8716390,1,RUA GERALDO PORTO 
-7.2173955,-35.8858229,2,RUA PRESIDENTE JOÃO PESSOA
-7.2077097,-35.9445834,1,RUA MARIA AMÉLIA SOBRINHO
-7.2488630,-35.8826889,1,RUA JOSE SOARES DE SANTANA
-7.2223667,-35.8734667,1,RUA CEL JOAO AECIO PORTO
-7.2223667,-35.8734667,1,RUA JOAO VALDEVINO ALVES 
-7.2046889,-35.8970684,1,RUA SÃO JORGE
-7.2210903,-35.8787309,2,RUA VILA NOVA DA RAINHA 
-7.2512380,-35.8910549,1,RUA MARIA GOMES CARNEIRO
-7.2223667,-35.8734667,1,RUA AQUILINO DE SOUZA GUIMARÃES
-7.2223667,-35.8734667,1,RUA JOSEFA FERREIRA DA SILVA 
-7.2451148,-35.8942268,1,RUA GETULIO CAVALCANTE 
-7.2223667,-35.8734667,1,RUA DA PISCINA 
-7.2098655,-35.9388791,1,RUA PADRE ANTÔNIO
-7.2223667,-35.8734667,1,RUA JOSÉ MARCILIO DE ANDRADE
-7.2554797,-35.8890108,6,RUA SERGIPE
-7.2223667,-35.8734667,1,RUA ALMANY JOSÉ TAVARES DE MELO 
-7.2200849,-35.8812143,1,RUA CORONEL JOÃO LOURENÇO PORTO
-20.3494299,-40.3838763,1,RUA SETE DE SETEMBRO 
-7.1983681,-35.8783507,6,RUA DOUTOR VASCONCELOS 
-7.2270236,-35.8958135,1,RUA JOSÉ ELPIDIO DA COSTA MONTEIRO
-7.2223667,-35.8734667,1,RUA JOANA ALBERTO DA SILVA
-7.2485367,-35.9230350,1,RUA DOS UMBUZEIROS 
-7.2177546,-35.8916177,2,AVENIDA GETÚLIO VARGAS
-7.2396624,-35.8933260,2,AVENIDA AMAZONAS
-7.2181369,-35.9088333,4,RUA ANTONIO JOAQUIM PEQUENO
-7.2274679,-35.8701935,2,RUA SILVA JARDIM
-7.2139712,-35.8697107,1,RUA ORESTES FIALHO DE ARAUJO
-7.2363284,-35.8964264,2,RUA ODON BEZERRA
-7.2223667,-35.8734667,1,RUA APOLONIO AMORIM
-7.2543317,-35.9231616,1,RUA AGRIPINO DOS SANTOS 
