RUA ANTENOR NAVARRO ,-7.2202454,-35.8941189
RUA JOANA DARC,-7.2227657,-35.872045
RUA VINTE E QUATRO DE MAIO,-7.2383857,-35.886042
RUA APARECIDA CARNEIRO ,-7.2217383,-35.906168
RUA PEDRO SABINO FARIAS,-7.2223667,-35.8734667
RUA FRANCISCO ABÍLIO,-7.2045107,-35.8749279
RUA VIGÁRIO VIRGÍNIO ,-7.2163671,-35.8750987
AVENIDA ASSIS CHATEAUBRIAND,-7.2410812,-35.888052
RUA JOSE BERNARDINO,-7.2386942,-35.8669442
RUA JOSE BERNARDINO,-7.2386942,-35.8669442
RUA SANTO ANTÔNIO,-7.2175764,-35.8716472
RUA CAICO ,-7.2298794,-35.9279763
AVENIDA PORTUGAL,-7.2235079,-35.9151396
RUA OLINDA,-7.2348169,-35.9265695
RODOVIA BR 230,-7.2375122,-35.8679401
RUA DOUTOR VASCONCELOS,-7.1983681,-35.8783507
RUA SEBASTIÃO VIEIRA DA SILVA ,-7.2419246,-35.8784881
AVENIDA VIGARIO CALIXTO,-7.2563153,-35.8787877
RUA GETULIO CAVALCANTE,-7.2451148,-35.8942268
RUA JAIME COELHO ,-7.2451738,-35.9086727
RUA PAULO DE FRONTIN ,-7.2265122,-35.8792653
RODOVIA BR 230,-7.2375122,-35.8679401
RUA RIO GRANDE DO SUL,-7.2315723,-35.8921784
