COD,RUA,REFERENCIA,ABRIGO,LATITUDE,LONGITUDE,ROTA1,ROTA2,ROTA3,ROTA4,ROTA5,ROTA6,ROTA7,ROTA8,ROTA9,ROTA10,ROTA11,ROTA12,ROTA13
743,APRIGIO FERREIRA LEITE,265 - OPOSTO,,-7.24395596422255,-35.882134968414903,004,,,,,,,,,,,,
744,APRIGIO FERREIRA LEITE,392,,-7.245232025161386,-35.882132034748793,004,,,,,,,,,,,,
745,ALDERICO PESSOA DE OLIVEIRA,MERCADO NOVA OLINDA,,-7.246636999770999,-35.8842539973557,004,,,,,,,,,,,,
746,ALDERICO PESSOA DE OLIVEIRA,795 - OPOSTO,,-7.249334966763854,-35.884023997932673,004,,,,,,,,,,,,
747,MANOEL ALVES DE OLIVEIRA,230 - OPOSTO,,-7.2504429705441,-35.884131034836173,004,,,,,,,,,,,,
748,MANOEL PAULINO,155 - OPOSTO,,-7.25235496647656,-35.885352026671171,004,,,,,,,,,,,,
749,VINTE E QUATRO DE MAIO,1673 - OPOSTO,,-7.252971958369017,-35.885775983333588,004,,,,,,,,,,,,
750,VINTE E QUATRO DE MAIO,1869 - OPOSTO,,-7.254261011257768,-35.885755028575659,044,,,,,,,,,,,,
751,VINTE E QUATRO DE MAIO,SO TURBINAS - OPOSTO,,-7.255810992792249,-35.885697025805712,004,,,,,,,,,,,,
752,SEVERINO GONCALVES DE MENEZES,118,,-7.255844017490745,-35.884861014783382,004,,,,,,,,,,,,
753,JOAO WALLIG,AMERICAN FLEX,,-7.257115971297026,-35.88399600237608,004,,,,,,,,,,,,
754,JOAO WALLIG,TESS,,-7.256604004651308,-35.879541020840406,004,,,,,,,,,,,,
755,RITA ALVES RAMOS,772,,-7.256088014692068,-35.884013017639518,044,,,,,,,,,,,,
756,VINTE E QUATRO DE MAIO,1879,,-7.254385985434055,-35.885698031634092,004,,,,,,,,,,,,
757,MANOEL PAULINO,275,,-7.25192598067224,-35.885357977822423,004,,,,,,,,,,,,
758,MANOEL ALVES DE OLIVEIRA,98,,-7.250823006033897,-35.885422015562654,004,,,,,,,,,,,,
759,ALDERICO PESSOA DE OLIVEIRA,642 - OPOSTO,SIM,-7.247812980785966,-35.884091975167394,044,,,,,,,,,,,,
760,HUMBERTO BATISTA LIMA,39,,-7.245686994865537,-35.882444009184837,044,,,,,,,,,,,,
761,APRIGIO FERREIRA LEITE,404 - OPOSTO,,-7.245345013216138,-35.882027009502053,044,,,,,,,,,,,,
762,APRIGIO FERREIRA LEITE,265D,,-7.24365396425128,-35.882026003673673,004,,,,,,,,,,,,
763,LUIZA BEZERRA MOTTA,666,,-7.238247971981764,-35.881915027275681,004,,,,,,,,,,,,
764,LUIZA BEZERRA MOTTA,MOTIVA,SIM,-7.238413011655211,-35.882294978946447,004,,,,,,,,,,,,
765,APRIGIO NEPOMUCENO,445,,-7.243138980120421,-35.891872979700565,245,111,,,,,,,,,,,
766,XV DE NOVEMBRO,TV PARAIBA,,-7.196017010137439,-35.895809037610888,910,,,,,,,,,,,,
767,DINAMERICA ALVES CORREA,1167 - VIZINHO,,-7.244156962260604,-35.911146998405457,202,220,,,,,,,,,,,
768,DINAMERICA ALVES CORREA,365,,-7.240857006981969,-35.910841980949044,202,220,,,,,,,,,,,
769,DINAMERICA ALVES CORREA,INSS,SIM,-7.238936964422464,-35.91061701066792,202,220,400,,,,,,,,,,
770,DINAMERICA ALVES CORREA,1033,SIM,-7.237173998728395,-35.910435961559415,202,220,400,,,,,,,,,,
771,DINAMERICA ALVES CORREA,470,,-7.232331018894911,-35.910483989864588,022,222,,,,,,,,,,,
772,DINAMERICA ALVES CORREA,AUTOESCOLA SANTO ANDRE,SIM,-7.235858961939812,-35.910857990384102,022,222,,,,,,,,,,,
773,DINAMERICA ALVES CORREA,ARMAZEM DO CIMENTO,SIM,-7.237886041402817,-35.9110670350492,022,222,,,,,,,,,,,
774,DINAMERICA ALVES CORREA,THERMO INJET,SIM,-7.240117974579334,-35.911299968138337,022,222,,,,,,,,,,,
775,DINAMERICA ALVES CORREA,ESCOLA JARDIM MARAVILHA,,-7.241653958335519,-35.911460984498262,022,202,,,,,,,,,,,
776,DINAMERICA ALVES CORREA,JC ROCHA,SIM,-7.244628025218844,-35.911710010841489,022,202,,,,,,,,,,,
777,ENFERMEIRA MARIA DE LOURDES SILVA,359 - OPOSTO,,-7.238157028332353,-35.901738982647657,404,,,,,,,,,,,,
778,RUA DO SOL,1093 - VIZINHO,SIM,-7.23312696442008,-35.905368011444807,444,,,,,,,,,,,,
779,ALMEIDA BARRETO,FUNDICAO CENTENARIO - OPOSTO,SIM,-7.229560967534781,-35.901553994044662,444,,,,,,,,,,,,
780,ALMEIDA BARRETO,1524,SIM,-7.229389976710081,-35.898305000737309,444,,,,,,,,,,,,
781,NILO PECANHA,1287,,-7.227535983547568,-35.897409981116652,444,,,,,,,,,,,,
782,NILO PECANHA,1287 - OPOSTO,,-7.227548975497484,-35.897477958351374,404,,,,,,,,,,,,
783,ALMEIDA BARRETO,1524,,-7.229200964793563,-35.898115988820791,404,,,,,,,,,,,,
784,ALMEIDA BARRETO,1750 - VIZINHO,,-7.229434987530112,-35.900210961699486,404,,,,,,,,,,,,
785,ALMEIDA BARRETO,FUNDICAO CENTENARIO,,-7.229458037763834,-35.901608979329467,404,,,,,,,,,,,,
786,ALMEIDA BARRETO,IGREJA DOS MORMAOS,SIM,-7.229413026943803,-35.901949033141136,404,,,,,,,,,,,,
787,ALMEIDA BARRETO,1502,,-7.229164000600576,-35.897935023531318,404,,,,,,,,,,,,
788,TEIXEIRA DE FREITAS,ESTADIO PRESIDENE VARGAS,,-7.226514983922243,-35.895272009074688,404,,,,,,,,,,,,
789,SERGIPE,IGREJA,,-7.23314699716866,-35.891103018075228,444,,,,,,,,,,,,
790,SERGIPE,615,,-7.233724007382989,-35.89100101031363,444,,,,,,,,,,,,
791,SANTA CATARINA,949,,-7.239133017137647,-35.890987012535334,111,,,,,,,,,,,,
792,GETULIO CAVALCANTE,07,,-7.235415978357196,-35.895300004631281,444,,,,,,,,,,,,
793,MINAS GERAIS,GINASIO COLEGIO CACILDIVA,,-7.230488006025553,-35.892240023240447,404,,,,,,,,,,,,
794,MARTINS JUNIOR,345,,-7.231523003429174,-35.889781024307013,404,,,,,,,,,,,,
795,ASSIS CHATEAUBRIAND,ART DESIGN - VIZINHO,,-7.243154989555478,-35.887764003127813,944,,,,,,,,,,,,
796,LUIZA BEZERRA MOTTA,FUNDACAO SUELLEN CAROLINE,,-7.238135989755392,-35.880064973607659,004,,,,,,,,,,,,
797,MANOEL CARDOSO PALHANO,FACISA,SIM,-7.249601008370519,-35.870127975940704,004,,,,,,,,,,,,
798,MARIA DA GUIA COSTA FIGUEIREDO,101,,-7.248500967398286,-35.870216991752386,004,,,,,,,,,,,,
802,CHILE,123,,-7.244587959721685,-35.874795019626617,004,,,,,,,,,,,,
807,SEBASTIAO LOPES DE MENEZES,POSTO POLICIAL,,-7.214448982849717,-35.855906987562776,333,303,,,,,,,,,,,
808,PROJETADA,BAIRRO DA GLORIA,,-7.214858019724488,-35.853475984185934,333,303,,,,,,,,,,,
809,PROJETADA,BAIRRO DA GLORIA,,-7.213856969028711,-35.854707034304738,333,303,,,,,,,,,,,
813,SALVINO DE OLIVEIRA NETO,293,,-7.215061029419303,-35.871925977990031,333,,,,,,,,,,,,
815,PEDRO II,597,SIM,-7.219561021775007,-35.892828013747931,263,333,303,903,,,,,,,,,
817,MANOEL FELICIANO,767,,-7.238057032227516,-35.900200987234712,404,,,,,,,,,,,,
818,RAUL PEREIRA DA SILVA,UBSF,SIM,-7.25314998999238,-35.93459696508944,922,,,,,,,,,,,,
819,ZACARIAS RIBEIRO VASCONCELOS,270A,,-7.254256987944245,-35.934174014255404,922,,,,,,,,,,,,
820,ZACARIAS RIBEIRO VASCONCELOS,110,,-7.254591006785631,-35.933914007619023,922,,,,,,,,,,,,
821,RODOVIA RAIMUNDO ASFORA,ENTRADA DO VERDEJANTE,SIM,-7.252383967861533,-35.933589963242412,092,902,922,,,,,,,,,,
822,CONJUNTO MAJOR VENEZIANO,II,SIM,-7.270891964435577,-35.936436960473657,092,009,,,,,,,,,,,
823,CONJUNTO MAJOR VENEZIANO,III,SIM,-7.271533012390137,-35.936195980757475,092,009,,,,,,,,,,,
824,PETROPOLES,548,,-7.271795030683279,-35.93216797336936,092,009,,,,,,,,,,,
825,PETROPOLES,560,,-7.271658992394805,-35.932023972272873,092,009,,,,,,,,,,,
826,PETROPOLES,MINI-BOX DO SOL,,-7.270964970812202,-35.930474996566772,092,009,,,,,,,,,,,
827,TRES IRMAS,BAR DO DUDU,,-7.262589018791914,-35.921395970508456,090,009,092,,,,,,,,,,
828,APRIGIO VELOSO,264,,-7.216745037585497,-35.905278995633125,263,,,,,,,,,,,,
829,IARA AMARAL,48,,-7.241625040769577,-35.911818975582719,222,,,,,,,,,,,,
830,IARA AMARAL,142 - LATERAL,,-7.242395002394915,-35.913614965975285,222,,,,,,,,,,,,
831,ALAIDE DE ARAUJO MEDEIROS,64 - OPOSTO,,-7.243312988430262,-35.91403498314321,222,,,,,,,,,,,,
832,SEVERINO PEREIRA DE MELO,100,,-7.245475016534329,-35.913972035050392,202,,,,,,,,,,,,
833,IARA AMARAL,122 - LATERAL,,-7.2424700204283,-35.913622006773949,202,,,,,,,,,,,,
834,IARA AMARAL,48 - OPOSTO,,-7.241754038259387,-35.911925006657839,202,,,,,,,,,,,,
835,TRANQUILINO COELHO LEMOS,500,,-7.237362004816532,-35.917990989983082,022,,,,,,,,,,,,
836,JOSE AGOSTINHO DO NASCIMENTO,669 - OPOSTO,,-7.241079965606332,-35.917826034128666,022,,,,,,,,,,,,
837,TRANQUILINO COELHO LEMOS,IFPB,SIM,-7.240078998729587,-35.916682993993163,022,,,,,,,,,,,,
838,TRANQUILINO COELHO LEMOS,EMPRESA NACIONAL,,-7.237577000632882,-35.917726960033178,022,,,,,,,,,,,,
839,JOAO MACHADO,MAIOR,SIM,-7.221362041309476,-35.896127969026566,333,263,,,,,,,,,,,
840,DUQUE DE CAXIAS,549,SIM,-7.220638012513518,-35.897120973095298,333,263,,,,,,,,,,,
841,DUQUE DE CAXIAS,FEIRA DA PRATA,,-7.218454023823142,-35.896583022549748,333,263,,,,,,,,,,,
