"RUA","lat","long"
"RUA JOAO ALVES DE OLIVEIRA ","-7.2149224","-35.8838690"
"RUA SÃO PEDRO","-7.2386737","-35.9083258"
"RUA CÁSSIO FIGUEREDO","-7.2678080","-35.9189876"
"RUA PRUDENTE DE MORAES","-7.2289905","-35.8839966"
"RUA VINTE E QUATRO DE MAIO ","-7.2383857","-35.8860420"
"RUA VILA NOVA DA RAINHA","-7.2210903","-35.8787309"
"AV ALMIRANTE BARROSO","-7.2354700","-35.8962185"
"RUA FRANKLIN ARAÚJO","-7.2104718","-35.8769168"
"RUA AMÉRICO CARNEIRO","-7.2361952","-35.9000815"
"AV JUSCELINO KUBITSCHEK","-7.2570800","-35.9097373"
"RUA PADRE CORNÉLIO","-7.2223667","-35.8734667"
"RUA FLORIPEDES COUTINHO ","-7.2219207","-35.9216233"
"RUA FLORIPEDES COUTINHO ","-7.2219207","-35.9216233"
"RUA CRATO","-7.2372060","-35.9251120"
"RUA DANIEL LUIS RODRIGUES","-7.2756400","-35.9140711"
"RUA JOÃO LOURENÇO PORTO","-7.2200849","-35.8812143"
"RUA SÃO VICENTE","-7.2221776","-35.9102052"
"RUA OTACÍLIO NEPOMUCENO","-7.2338966","-35.8729918"
"RUA MACIEL PINHEIRO","-7.2179827","-35.8836460"
"RUA MARINALDO VITORINO BATISTA FILHO","-7.2223667","-35.8734667"
"RUA MARIA ROSA","-7.2086304","-35.9003121"
"AV JUSCELINO KUBITSCHEK","-7.2570800","-35.9097373"
