"RUA","lat","long"
"RUA NEUSA BRILHANTE","-7.2405647","-35.8777089"
"RUA GILSON PEREIRA SOUZA","-7.2223667","-35.8734667"
"AV BRASILIA","-7.2699120","-35.8971647"
"RUA VIGOLVINO WANDERLEY","-7.2138836","-35.8849458"
"AV CANAL","-7.2283635","-35.8791107"
"RUA GABRIEL CHABO","-7.2507437","-35.8952592"
"AV ALMIRANTE BARROSO","-7.2354700","-35.8962185"
"RUA MARQUES DO HERVAL ","-7.2186352","-35.8850358"
"RUA JUSCELINO KUBITSCHEK","-7.2570800","-35.9097373"
"RUA DA CONCEIÇÃO","-7.2593207","-35.9099166"
"RUA NATANAEL BELO ","-7.2144979","-35.9016135"
"AV FLORIANO PEIXOTO","-7.2146094","-35.8733014"
"RUA OTACILIO NEPOMUCENO","-7.2338966","-35.8729918"
"RUA ZEZINHO UCHOA","-7.2461142","-35.9031862"
"RUA SANTA BARBARA","-7.2229897","-35.9135593"
"AV FLORIANO PEIXOTO","-7.2146094","-35.8733014"
"RUA DO JUA","-7.2561681","-35.8863242"
"AV JUSCELINO KUBITSCHEK ","-7.2570800","-35.9097373"
"AV CANAL","-7.2283635","-35.8791107"
"RUA MANOEL ELIAS DE CASTRO ","-7.2027714","-35.8825859"
"RUA AMELIA VIEIRA ","-7.2294633","-35.8711409"
"RUA SEVERINO PIMENTEL","-7.2416973","-35.8938156"
"RUA SANTO ANTONIO","-7.2175764","-35.8716472"
"RUA MACEIO","-7.2493592","-35.9205706"
"RUA ANA VILAR","-7.2492900","-35.9013847"
"RUA ALCIDES AVELINO DE MEDEIROS","-7.2483569","-35.9284381"
"AV FLORIANO PEIXOTO","-7.2146094","-35.8733014"
"AV JUSCELINO KUBITSCHEK","-7.2570800","-35.9097373"
"RUA VINTE E QUATRO DE MAIO ","-7.2383857","-35.8860420"
"RUA PREFEITO ANTONIO COUTINHO ","-7.2444422","-35.8884102"
"RUA ESTELITA CRUZ","-7.2152210","-35.8811836"
"RUA MANUEL RAIMUNDO DE SOUSA","-7.2223667","-35.8734667"
"RUA JOÃO FAZIO DE ALMEIDA","-7.2223667","-35.8734667"
"RUA JOÃO EDSON SOUZA","-7.2223667","-35.8734667"
"RUA SGT EDSON SALES ","-7.2208531","-35.8686463"
"RUA JOÃO CAVALCANTE DE ARRUDA","-7.2510877","-35.9112383"
"RUA JOSÉ FIRMINO DA SILVA","-7.2533384","-35.8945744"
"RUA JOÃO CAVALCANTE DE ARRUDA","-7.2510877","-35.9112383"
"RUA VILA NOVA DA RAINHA","-7.2210903","-35.8787309"
"RUA VILA NOVA DA RAINHA","-7.2210903","-35.8787309"
"RUA JOSÉ MARTINS DE ANDRADE","-7.2223667","-35.8734667"
"AV CANAL","-7.2283635","-35.8791107"
"AV ASSIS CHATEAUBRIAND","-7.2410812","-35.8880520"
"RUA POBRO CÂMARA ","-7.2059804","-35.8962939"
"RUA DAS UMBURANAS","-7.2445951","-35.9262148"
"RUA SGT EDSON SALES","-7.2208531","-35.8686463"
"RUA CASSIANO PEREIRA","-7.2465473","-35.8947422"
"RUA JOÃO QUIRINO","-7.2354335","-35.8827645"
"PRAÇA DA BANDEIRA","-7.2195995","-35.8849528"
"RUA GONÇALVES DIAS","-7.2186207","-35.8481398"
"RUA DOUTOR EDUARDO CORREIA DE LIMA","-7.2312441","-35.9210905"
"RUA INDIOS CARIRIS","-7.2190937","-35.8891918"
"RUA BARTOLOMEU DE GUSMAO","-7.2182730","-35.8872468"
"AV FLORIANO PEIXOTO","-7.2146094","-35.8733014"
"RUA MAJOR JUVINO DO DÓ","-7.2212517","-35.8836956"
"RUA JOANA DARC","-7.2227657","-35.8720450"
"RUA AGAMENON MAGALHAES ","-7.2112966","-35.8811609"
"PRACA DA BANDEIRA","-7.2195995","-35.8849528"
"RUA ISOLDA BARROS TORQUATO","-7.2223667","-35.8734667"
"RUA DUQUE DE CAXIAS","-7.2225536","-35.8977286"
"AV CANAL DO PRADO","-7.2223667","-35.8734667"
"AV JUSCELINO KUBITSCHEK","-7.2570800","-35.9097373"
"RUA NEUZA BORBOREMA","-7.2157729","-35.8698447"
"RUA SEVERINO FELIPE DE SOUZA","-7.2557331","-35.9229711"
"RUA JOSE GOMES DA FARIAS","-7.2121814","-35.8606263"
"RUA ANTONIO JOAQUIM DE CARVALHO ","-7.2447102","-35.9080866"
"RUA SANTO ANTONIO","-7.2175764","-35.8716472"
"RUA MARIA DE LOURDES FERREIRA ","-7.2223667","-35.8734667"
"RUA QUINZE DE NOVEMBRO ","-7.1986848","-35.8959945"
"RUA QUEBRA QUILOS ","-7.2211282","-35.8774007"
"RUA IREMAR VILARIM ","-7.2223667","-35.8734667"
"RUA JÚLIA DE ANDRADE","-7.2223667","-35.8734667"
"RUA APRIGIO VELOSO","-7.2217283","-35.9163941"
"TV JUSCELINO KUBISCHEK","-7.2604071","-35.9115860"
"RUA HENRIQUE SALES MONTEIRO","-7.2400300","-35.9086563"
"RUA PAULO DE FROTIM","-7.2265122","-35.8792653"
"RUA MAMEDE MOISES RAIA","-7.2196143","-35.8680883"
"RUA DESEMBARGADOR TRINDADE","-7.2237799","-35.8840185"
"RUA ALFREDO ALVES ARAUJO","-7.2412275","-35.9041761"
"RUA ALFREDO ALVES ARAUJO","-7.2412275","-35.9041761"
"RUA JANUNCIO FERREIRA ","-7.2151451","-35.8811232"
"RUA VINTE E SETE DE JULHO ","-7.2056033","-35.9038021"
"RUA COSTA E SILVA","-7.2365463","-35.9028056"
"RUA JOÃO DA CUNHA LIMA","-7.2533869","-35.9150606"
"RUA APRIGIO VELOSO ","-7.2217283","-35.9163941"
"RUA MANOEL P. DE ARAUJO","-7.2199041","-35.8770149"
"RUA QUINZE DE NOVEMBRO ","-7.1986848","-35.8959945"
"RUA JOANA DE ALBUQUERQUE SILVEIRA ","-7.2506392","-35.8957545"
"RUA TAMANDUA","-7.2610776","-35.9207100"
"RUA TRÊS IRMÃS","-7.2590698","-35.9176269"
"RUA TRÊS IRMÃS","-7.2590698","-35.9176269"
"RUA ALCIDES","-7.2483569","-35.9284381"
"RUA ANÍSIO RODRIGUES DE SOUSA","-7.2223667","-35.8734667"
"AV PORTUGAL ","-7.2235079","-35.9151396"
"RUA MANOEL MOTA","-7.2049314","-35.9503141"
"AV FLORIANO PEIXOTO","-7.2146094","-35.8733014"
"AV FLORIANO PEIXOTO","-7.2146094","-35.8733014"
"RUA NEREU GUSMÃO BASTOS","-7.2483051","-35.9289759"
"AV FLORIANO PEIXOTO","-7.2146094","-35.8733014"
"RUA JOSÉ GOMES DE FARIAS","-7.2121814","-35.8606263"
"RUA PEDRO AZEVEDO","-7.2620924","-35.9186933"
"RUA CORNÉLIO JACINTO DA SILVA","-7.2477240","-35.9263465"
"PRAÇA DA BANDEIRA","-7.2195995","-35.8849528"
"RUA CUREMAS","-7.2317842","-35.8785139"
"RUA AFONSO CAMPOS ","-7.2193398","-35.8816382"
"RUA VIGARIO VIRGINIO ","-7.2163671","-35.8750987"
"RUA JAMILA ABRAÃO JORGE","-7.2433129","-35.9233968"
"RUA ERNESTO DO RÊGO ","-7.2474010","-35.8977479"
"RUA DUQUE DE CAXIAS","-7.2225536","-35.8977286"
"RUA GERALDO PORTO ","-7.2427429","-35.8716390"
"RUA PEDRO SERAO","-7.2385524","-35.8926909"
"RUA ALMEIDA BARRETO","-7.2294646","-35.9110185"
"RUA PROJETADA","-7.1514743","-35.8515564"
"RODOVIA BR 230","-7.2375122","-35.8679401"
"RUA MARIA DA MUNIS DE ALBUQUERQUE","-7.2355900","-35.9312681"
"RUA COSTA E SILVA","-7.2365463","-35.9028056"
"RUA RECIFE","-7.2507748","-35.9193773"
"RUA CAICO","-7.2298794","-35.9279763"
"RUA DOUTOR AUGUSTO DE ALMEIDA","-7.2380112","-35.9219662"
"RUA DAMIAO JOSE RODRIGUES ","-7.2210328","-35.9207898"
"AV ENGENHEIRO JOSE CELINO FILHO","-7.2359227","-35.8668100"
"RUA JUSCELINO KUBSTECHEK ","-7.2604071","-35.9115860"
"AV FLORIANO PEIXOTO","-7.2146094","-35.8733014"
"RUA VILA NOVA DA RAINHA","-7.2210903","-35.8787309"
"RUA MOSSORO","-7.2337762","-35.9257241"
"RUA PARAIBA","-7.2333244","-35.8877546"
"AV CANAL","-7.2283635","-35.8791107"
"RUA JAMILA ABRAO JORGE ","-7.2433129","-35.9233968"
"RUA FLORIPEDES COUTINHO ","-7.2219207","-35.9216233"
"RUA MARIA AMÉLIA SOBRINHO","-7.2077097","-35.9445834"
"AV FLORIANO PEIXOTO","-7.2146094","-35.8733014"
"RUA PEDRO SABINO SILVA ","-7.2522403","-35.8887719"
"AV ALMIRANTE BARROSO","-7.2354700","-35.8962185"
"RUA JOSE ELPIDIO DA COSTA MONTEIRO ","-7.2270236","-35.8958135"
"RUA CAMPOS SALES","-7.2257831","-35.8724315"
"RUA DOUTOR JOSE GREGORIO ","-7.2220367","-35.9228491"
"RUA HAROLDO CRUZ ","-7.2529304","-35.8772051"
"AV VIGARIO CALIXTO","-7.2563153","-35.8787877"
"AV CANAL","-7.2283635","-35.8791107"
"RUA DR SEVERINO RIBEIRO CRUZ","-7.2230627","-35.9200239"
"RUA ANTONIO JOAQUIM PEQUENO","-7.2181369","-35.9088333"
"RUA RODRIGUES ALVES","-7.2197920","-35.8982818"
"RUA SANTO ANTONIO","-7.2175764","-35.8716472"
"TRAVESSA AUGUSTO BORBOREMA","-7.2489125","-35.9008403"
"RUA MAMEDE MÓISES RAIA","-7.2196143","-35.8680883"
"RUA JOAO PESSOA","-7.2458570","-35.8778745"
"RUA TOMAS SOARES DE SOUZA ","-7.2310199","-35.8818576"
"AV DINAMERICA","-7.2339942","-35.9105869"
"RUA MONTEVIDEO","-7.2199459","-35.8982760"
"RUA PROFESSOR LOPES DE ANDRADE","-7.2223667","-35.8734667"
"AV ALMIRANTE BARROSO","-7.2354700","-35.8962185"
"PRAÇA DA BANDEIRA","-7.2195995","-35.8849528"
"RUA OTACILIO NEPOMUCENO ","-7.2338966","-35.8729918"
"RUA MARGARIDA MARIA ALVES","-7.2423954","-35.9169191"
"RUA MAMEDE MOISES RAIA ","-7.2196143","-35.8680883"
"RUA JOSÉ LUIS FERNANDES","-7.2265482","-35.9321453"
"RUA MACIEL PINHEIRO ","-7.2179827","-35.8836460"
"RUA GONÇALVES DIAS","-7.2186207","-35.8481398"
"RUA FELIPE CAMARAO","-7.2252957","-35.8904021"
"RUA ALDERICO PESSOA DE OLIVEIRA","-7.2420242","-35.8848662"
"ALCA SUDOESTE","-7.2223667","-35.8734667"
"RUA JOSÉ AROLDO FAUSTINO ","-7.2555824","-35.9276768"
"RUA JOSE PIMENTEL DE LIMA ","-7.2273036","-35.9101086"
"RUA OTACILIO NEPOMUCENO ","-7.2338966","-35.8729918"
"RUA SEVERINO DE BRANCO","-7.2192419","-35.8699405"
"RUA AMAZONAS","-7.2396624","-35.8933260"
"RUA LISIÊ KELLY COSTA","-7.2223667","-35.8734667"
"AV FLORIANO PEIXOTO","-7.2146094","-35.8733014"
"RUA CAMPOS SALES","-7.2257831","-35.8724315"
"RUA QUEBRA QUILOS","-7.2211282","-35.8774007"
"RUA NORBERTO LEAL ","-7.2077089","-35.8802096"
"RUA SOUZA","-7.2349973","-35.9297365"
"RUA DINAMERICA ALVES CORREIA ","-7.2339942","-35.9105869"
"RUA AGEU GENUINO DA SILVA ","-7.2223235","-35.9142677"
"RUA SIQUEIRA CAMPOS","-7.2237598","-35.8931741"
"AV JUSCELINO KUBITSCHEK","-7.2570800","-35.9097373"
"RUA RAIMUNDO ASFORA","-7.2226085","-35.9047724"
"RUA VIGÁRIO CALIXTO","-7.2563153","-35.8787877"
"AV FLORIANO PEIXOTO","-7.2146094","-35.8733014"
"RUA JANUNCIO FERREIRA ","-7.2151451","-35.8811232"
"ALCA SUDOESTE","-7.2223667","-35.8734667"
"RUA DOUTOR VASCONCELOS","-7.1983681","-35.8783507"
"AV FLORIANO PEIXOTO","-7.2146094","-35.8733014"
"RUA PROJETADA","-7.1514743","-35.8515564"
"RUA VALDAIR PEQUENO DE MELO","-7.2410383","-35.9291782"
"RUA SANTA CATARINA","-7.2429091","-35.8905571"
"AV JUSCELINO KUBITSCHEK","-7.2570800","-35.9097373"
"RUA TOMÉ DE SOUZA ","-7.2216092","-35.8699701"
"RUA SANTARÉM ","-7.2312997","-35.9294593"
"RUA MANOEL TAVARES","-7.2016942","-35.8763767"
"RODOVIA BR 230","-7.2375122","-35.8679401"
"AV JUSCELINO KUBITSCHEK","-7.2570800","-35.9097373"
"RUA PROFESSORA EUTECIA VITAL RIBEIRO","-7.2399133","-35.8721945"
"RUA MACIEL PINHEIRO ","-7.2179827","-35.8836460"
"RUA JOAO AMARO DE LIMA","-7.2115693","-35.8549486"
"RUA RITA PERREIRA ","-7.2210294","-35.9201042"
"RUA JOSE TAVARES ","-7.2181796","-35.8786288"
"RUA CAMPOS SALES ","-7.2257831","-35.8724315"
"RUA ALMEIDA BARRETO","-7.2294646","-35.9110185"
"RUA JOSÉ DO PRECIPÍCIO ","-7.2197150","-35.9187469"
"RUA FLORIPEDES COUTINHO ","-7.2219207","-35.9216233"
"RUA AURÉLIO FEITOSA VENTURA","-7.2143063","-35.8683344"
"RUA OSVALDO CRUZ TODA ","-7.2223667","-35.8734667"
"AV FLORIANO PEIXOTO","-7.2146094","-35.8733014"
"AV FLORIANO PEIXOTO","-7.2146094","-35.8733014"
"RUA DO MEIO ","-7.2198878","-35.8876227"
"RUA VINTE E QUATRO DE MAIO ","-7.2383857","-35.8860420"
"RUA ARNALDO ALBUQUERQUE ","-7.2024090","-35.8767899"
"RUA ARNALDO ALBUQUERQUE ","-7.2024090","-35.8767899"
"AV ELPIDIO DE ALMEIDA","-7.2275983","-35.8770020"
"RUA ALZIRA FIGUEIREDO","-7.2653172","-35.8743294"
"RUA MARQUES HERVAL","-7.2186352","-35.8850358"
"RUA PEDRO LEAL","-7.2353559","-35.8863766"
"RUA ARISTIDES LOBO","-7.2270649","-35.8906595"
"RUA PEDRO OTAVIO DE FARIAS ","-7.2449416","-35.8926445"
"RUA JOAO PESSOA","-7.2458570","-35.8778745"
"RUA ANIBAL FERREIRA ","-7.2276544","-35.9194464"
"RUA SEVERINO PIMENTEL","-7.2416973","-35.8938156"
"AV CANAL","-7.2283635","-35.8791107"
"RUA MONSENHOR JOSE COUTINHO","-7.2529968","-35.9145637"
"RUA EDESIO SILVA","-7.2415243","-35.8923018"
"AV DINAMERICA","-7.2339942","-35.9105869"
"RUA QUINZE DE NOVEMBRO ","-7.1986848","-35.8959945"
"RUA FERNANDES VIEIRA ","-7.2342495","-35.8586875"
"RUA CRISTIANO PALMEIRA ","-7.2074880","-35.8923210"
