"","COD","RUA","REFERENCIA","ABRIGO","LATITUDE","LONGITUDE","ROTA"
"1018","008","SAO LUIS","154","",-7.24012803286314,-35.86202301085,"550"
"1019","009","JOSELITA BRASILEIRO","137 - OPOSTO","",-7.24032903090119,-35.8636940270662,"550"
"1020","010","RANULFO GOMES DE ARAUJO","208","",-7.24037404172122,-35.8658070210367,"550"
"3130","098","FLORIANO PEIXOTO ","REDE COMPRAS","",-7.21808304078877,-35.880768969655,"550"
"4153","110","FLORIANO PEIXOTO","HELENO CABELEREIRO","SIM",-7.22647399641573,-35.8990079909563,"550"
"4154","111","FLORIANO PEIXOTO","1640","",-7.2281870059669,-35.9028560388833,"550"
"4176","133"," FLORIANO PEIXOTO","1800","",-7.22879100590944,-35.9043090417981,"550"
"9235","137"," FLORIANO PEIXOTO ","APTA - OPOSTO","SIM",-7.22506399266422,-35.8956040162593,"550"
"9236","138"," FLORIANO PEIXOTO"," 845","",-7.2238630335778,-35.8930979948491,"550"
"3172","140"," FLORIANO PEIXOTO ","PRACA CLEMENTINO PROCOPIO","SIM",-7.21965498290956,-35.8840199746192,"550"
"140","141","ANTONIO VILARIM","344","",-7.24165697582066,-35.8721249643713,"550"
"141","142","EUTECIA VITAL RIBEIRO","APAE","SIM",-7.24092699587345,-35.8714069705456,"550"
"4196","153","FLORIANO PEIXOTO","1328","",-7.22732802852988,-35.9010329749435,"550"
"3239","207","MANOEL GONCALVES DE GUMARAES ","FIEP","SIM",-7.22221397794783,-35.8756030350924,"550"
"3240","208","JILO GUEDES","39","SIM",-7.21866801381111,-35.8754870295525,"550"
"4259","216","SEVERINO BEZERRA CABRAL ","ESCOLA NORMAL","",-7.23010897636414,-35.8728869631886,"550"
"4260","217","SEVERINO BEZERRA CABRAL ","ESCOLA NORMAL","SIM",-7.23025700077415,-35.8727790042758,"550"
"4261","218","SEVERINO BEZERRA CABRAL ","AUTO SHOPPING - OPOSTO","SIM",-7.23250301554799,-35.8709580358118,"550"
"4262","219","SEVERINO BEZERRA CABRAL ","COPASA","SIM",-7.23531497642398,-35.8686000388116,"550"
